Timestamp,Source_Name,Priority,Status,Change_Detected,Version_ID,Diff_File,Similarity_Score,Power_Words,Matched_UDID,Matched_Chunk_ID,Outcome,Reason
2026-02-05T03:57:11.465068,WIPO Arbitration and Mediation Center,Medium,Success,No,3819,N/A,,,,,,
2026-02-05T03:57:12.102969,WIPO Press Room,Low,Success,No,7305,N/A,,,,,,
2026-02-05T03:57:13.399822,Trade Marks Act 1995,High,Success,No,C2024C00545,N/A,,,,,,
2026-02-05T03:57:14.658465,Patents Regulations 1991,High,Success,No,F2024C00944,N/A,,,,,,
2026-02-05T03:57:16.605272,Thomas Amann Website,Medium,Success,No,"W/""08680f80d8640b78ffc897f113e04c27""",N/A,,,,,,
2026-02-05T03:57:20.885006,IP Australia - What are trade marks?,Medium,Success,No,"""697acef8-2fa44""",N/A,,,,,,
2026-02-05T04:13:38.459808,WIPO Arbitration and Mediation Center,Medium,Success,No,3819,N/A,,,,,,
2026-02-05T04:13:38.981699,WIPO Press Room,Low,Success,No,7305,N/A,,,,,,
2026-02-05T04:13:44.983191,Trade Marks Act 1995,High,Success,No,C2024C00545,N/A,,,,,,
2026-02-05T04:13:46.251150,Patents Regulations 1991,High,Success,No,F2024C00944,N/A,,,,,,
2026-02-05T04:13:56.675887,Thomas Amann Website,Medium,Success,No,"W/""08680f80d8640b78ffc897f113e04c27""",N/A,,,,,,
2026-02-05T04:13:57.660409,ABC News - World,Medium,Success,Yes,"""9gdmaytcojbnw""",20260205_041357_ABC_News_World.diff,,,,,,
2026-02-05T04:14:01.565736,IP Australia - What are trade marks?,Medium,Success,No,179,N/A,,,,,,
2026-02-05T04:56:19.906906,IP Australia - What are trade marks?,Medium,Success,No,"""697acef8-2fa44""",N/A,,,,,,
2026-02-06T01:55:02.996199,ABC News - World,Medium,Success,Yes,"""180y7iqx2izbj1""",20260206_015502_ABC_News_World.diff,,,,,,
2026-02-06T01:55:08.311559,IP Australia - What are trade marks?,Medium,Success,No,179,N/A,,,,,,
2026-02-06T06:52:56.744119,Thomas Amann Website,Medium,Success,No,"W/""83b7076ebe8a82686af8e46e2b75fb0c""",N/A,,,,,,
2026-02-06T06:52:57.499274,ABC News - World,Medium,Success,Yes,"""61g6zh21khbfs""",20260206_065257_ABC_News_World.diff,,,,,,
2026-02-06T06:53:00.726852,IP Australia - What are trade marks?,Medium,Success,No,"""697acef8-2fa44""",N/A,,,,,,
2026-02-06T12:55:28.153358,ABC News - World,Medium,Success,Yes,"""4awxwpb9jebp6""",20260206_125528_ABC_News_World.diff,,,,,,
